mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;params;split0_test_score;split1_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;mean_train_score;std_train_score
14.235.108.649.730.600;13.151.289.224.624.600;14.848.368.072.509.700;0.11824393272399902;0.1;linear;{'C': 0.1, 'kernel': 'linear'};0.8758333333333334;0.8752777777777778;0.8755555555555556;0.0002777777777777657;3;1.0;1.0;1.0;0.0
3.037.019.712.924.950;2.073.720.693.588.250;21.985.664.498.806;0.4794086217880249;0.1;rbf;{'C': 0.1, 'kernel': 'rbf'};0.4816666666666667;0.4677777777777778;0.47472222222222227;0.0069444444444444475;6;0.5327777777777778;0.5194444444444445;0.5261111111111112;0.006666666666666654
1.204.825.336.933.130;0.7059094905853271;11.458.726.012.706.700;0.33594000339508057;1;linear;{'C': 1, 'kernel': 'linear'};0.8758333333333334;0.8752777777777778;0.8755555555555556;0.0002777777777777657;3;1.0;1.0;1.0;0.0
20.678.338.849.544.500;0.5384739637374878;187.369.997.382.164;14.417.692.422.866.800;1;rbf;{'C': 1, 'kernel': 'rbf'};0.8883333333333333;0.8866666666666667;0.8875;0.0008333333333332971;2;0.9852777777777778;0.9875;0.986388888888889;0.0011111111111111183
1.139.526.515.007.010;0.011737585067749023;1.139.997.181.892.390;0.4225172996520996;10;linear;{'C': 10, 'kernel': 'linear'};0.8758333333333334;0.8752777777777778;0.8755555555555556;0.0002777777777777657;3;1.0;1.0;1.0;0.0
19.479.532.372.951.500;0.5088666677474976;10.964.959.359.169.000;0.1374361515045166;10;rbf;{'C': 10, 'kernel': 'rbf'};0.9305555555555556;0.9316666666666666;0.9311111111111111;0.0005555555555555314;1;1.0;1.0;1.0;0.0
